edad,salario_anterior,dependientes,estatura,primer_salario,siguiente_salario
42.0,32141.0,3.0,1.5710571499213026,4186.0,42750.0
39.0,37067.0,2.0,1.5397885553060404,5134.0,41291.0
47.0,32764.0,2.0,1.6060214685288141,3766.0,38020.0
40.0,29147.0,3.0,1.7320002141304007,6897.0,50693.0
48.0,32237.0,2.0,1.4887938046481666,5235.0,40596.0
49.0,31320.0,3.0,1.6309083330380458,4847.0,44627.0
40.0,29399.0,4.0,1.5715415142526215,4782.0,48003.0
35.0,41025.0,2.0,1.6853716323848782,5439.0,44994.0
42.0,17565.0,1.0,1.5518411580068459,6217.0,25247.0
48.0,25788.0,2.0,1.5219402569573182,3208.0,32523.0
44.0,28641.0,3.0,1.4146228828481948,5045.0,45802.0
46.0,26788.0,4.0,1.6365531717789246,4265.0,45270.0
37.0,28374.0,2.0,1.5333137900615876,4829.0,34078.0
56.0,17371.0,4.0,1.4344060010364015,4619.0,40579.0
41.0,28848.0,2.0,1.5020294734950774,3275.0,30392.0
47.0,25021.0,2.0,1.5333643474169838,6376.0,34756.0
64.0,30470.0,3.0,1.639003324197747,5413.0,46395.0
47.0,21746.0,3.0,1.5953512102080691,5227.0,42029.0
39.0,30759.0,3.0,1.5168768569248003,5895.0,46305.0
38.0,41440.0,0.0,1.5224504855169265,5909.0,32994.0
47.0,33889.0,2.0,1.4482034866287279,3847.0,40054.0
38.0,23853.0,2.0,1.5769131863203605,7284.0,41209.0
36.0,30949.0,3.0,1.5479430335490174,5307.0,46958.0
49.0,31198.0,4.0,1.3852017448572405,5433.0,52154.0
48.0,35154.0,3.0,1.5991513335229417,5949.0,53869.0
48.0,35608.0,1.0,1.3951008672021896,6788.0,42033.0
36.0,30259.0,4.0,1.610255428485406,6487.0,52573.0
41.0,32311.0,1.0,1.6005522849366838,6305.0,35889.0
42.0,29481.0,1.0,1.53352354116919,6436.0,34077.0
39.0,23833.0,5.0,1.4956956277813205,4394.0,52278.0
33.0,34937.0,3.0,1.460064608754385,5789.0,52646.0
42.0,27713.0,3.0,1.7497049940183242,5965.0,45127.0
48.0,43651.0,2.0,1.4169700027142882,5692.0,51270.0
32.0,34780.0,3.0,1.6191513245869542,4219.0,42710.0
41.0,28458.0,2.0,1.4902472546796648,7127.0,45292.0
47.0,23142.0,4.0,1.544412712208254,3007.0,40301.0
36.0,34056.0,2.0,1.4840629966337064,5013.0,37129.0
40.0,27459.0,3.0,1.6533022159132353,6398.0,46020.0
40.0,22414.0,2.0,1.6121144343458675,5528.0,34914.0
43.0,22959.0,2.0,1.542170173246637,6714.0,34759.0
44.0,35966.0,2.0,1.5463433131600113,4113.0,41419.0
38.0,25868.0,3.0,1.4048440488650649,6038.0,44852.0
37.0,38786.0,1.0,1.6517762993920113,3158.0,31022.0
45.0,35960.0,2.0,1.5845773604397366,4682.0,39653.0
47.0,24125.0,3.0,1.4803666236304442,5709.0,45317.0
45.0,31320.0,2.0,1.4308701081988833,6631.0,42977.0
45.0,25376.0,4.0,1.5523840622381495,5640.0,52452.0
30.0,27229.0,3.0,1.5796106945813944,3913.0,35555.0
38.0,23774.0,4.0,1.5270358042969845,2281.0,38198.0
44.0,23952.0,3.0,1.6186107803506176,5290.0,45024.0
36.0,24719.0,2.0,1.3933272804299264,2714.0,24219.0
38.0,34980.0,2.0,1.536237341238242,6356.0,41659.0
36.0,32182.0,2.0,1.4592906165739612,5801.0,42432.0
43.0,27939.0,3.0,1.505535272465059,4771.0,39975.0
33.0,19616.0,2.0,1.599764317705259,6102.0,30787.0
48.0,30946.0,3.0,1.4439419542366396,5816.0,45142.0
48.0,29952.0,2.0,1.584013512582564,6512.0,40935.0
46.0,38620.0,2.0,1.4438963257800408,3824.0,42002.0
50.0,31140.0,2.0,1.528272767362482,3699.0,36260.0
38.0,7500.0,4.0,1.5314011799484692,6362.0,41747.0
44.0,32417.0,2.0,1.4853332596371964,4270.0,39799.0
41.0,31781.0,2.0,1.539742937096605,8582.0,51234.0
26.0,39377.0,4.0,1.5578197899110144,4333.0,52755.0
39.0,26645.0,3.0,1.5154440732607386,6829.0,47574.0
38.0,23098.0,2.0,1.593707091101841,3177.0,22900.0
52.0,24156.0,2.0,1.6741544127060122,6515.0,36147.0
34.0,43142.0,3.0,1.5791925321095022,5000.0,49039.0
21.0,25978.0,3.0,1.611696084022304,2839.0,29807.0
34.0,23269.0,3.0,1.5640143718353123,6741.0,41235.0
44.0,31217.0,3.0,1.5418879337709996,7837.0,52521.0
45.0,25513.0,3.0,1.5499840034276509,4398.0,42997.0
36.0,34344.0,3.0,1.5244638618586084,5783.0,51052.0
28.0,24424.0,1.0,1.5385230335367053,5317.0,24116.0
35.0,35483.0,3.0,1.3823333747138717,5598.0,45722.0
33.0,26882.0,1.0,1.4938695885303712,3446.0,20810.0
35.0,24553.0,2.0,1.7065717785191956,5682.0,36307.0
47.0,35618.0,2.0,1.4333038884493312,4481.0,41963.0
38.0,28594.0,4.0,1.5936761508583137,6319.0,54848.0
44.0,27579.0,4.0,1.5280464465116532,4661.0,47154.0
41.0,26053.0,3.0,1.6116851426181995,3667.0,36698.0
50.0,26643.0,3.0,1.7776926793434078,5416.0,46548.0
50.0,27385.0,3.0,1.5655224194104636,4954.0,40293.0
40.0,28272.0,3.0,1.5118426959310942,3604.0,41580.0
47.0,22902.0,2.0,1.606759850670636,5910.0,33960.0
48.0,32751.0,3.0,1.6487360996182705,4532.0,48374.0
44.0,29500.0,0.0,1.4852483641373908,2845.0,17095.0
47.0,45401.0,2.0,1.6473372675158497,6136.0,55413.0
57.0,24682.0,3.0,1.579853663583903,7748.0,53493.0
49.0,27420.0,3.0,1.526627784465792,5368.0,44048.0
37.0,30470.0,2.0,1.4406783599645767,5298.0,39122.0
39.0,18374.0,2.0,1.5156825655611463,4647.0,28036.0
44.0,34018.0,4.0,1.50494103779086,5267.0,53279.0
44.0,28601.0,4.0,1.633302941833864,3335.0,44647.0
41.0,32917.0,2.0,1.5367942556715966,5395.0,40454.0
41.0,24000.0,3.0,1.6682214686738202,7762.0,48656.0
34.0,27791.0,3.0,1.663145403548717,4240.0,42316.0
47.0,33686.0,2.0,1.6366050416024231,6531.0,41719.0
32.0,31234.0,3.0,1.604236729453476,3001.0,33796.0
46.0,25245.0,3.0,1.6077566926158369,4231.0,37199.0
39.0,31284.0,4.0,1.5584774078207309,3240.0,45971.0
47.0,25398.0,4.0,1.3474837387078376,4611.0,45075.0
31.0,26911.0,3.0,1.6889567050867322,2425.0,30445.0
41.0,34635.0,3.0,1.4538902820141326,4177.0,41455.0
44.0,31285.0,3.0,1.6387478428684346,6192.0,53284.0
35.0,21830.0,3.0,1.5174757442039428,7737.0,42595.0
46.0,34806.0,3.0,1.58692105213796,9373.0,61427.0
40.0,25844.0,2.0,1.5256313949670222,4122.0,31088.0
40.0,27546.0,3.0,1.6408022459320413,6570.0,43301.0
46.0,22005.0,1.0,1.570508664871115,6992.0,31322.0
47.0,37975.0,2.0,1.6486982637960979,7517.0,54346.0
49.0,26406.0,3.0,1.5224361404460443,4993.0,43801.0
44.0,26960.0,1.0,1.5321118463634833,4494.0,24319.0
41.0,28897.0,4.0,1.5933521653959204,5190.0,49166.0
39.0,27607.0,2.0,1.6022712187824337,4022.0,31584.0
34.0,39823.0,3.0,1.6063944458871948,4913.0,48713.0
48.0,22198.0,3.0,1.6388417800027055,4713.0,37872.0
45.0,35217.0,2.0,1.4348119001334876,5679.0,42621.0
35.0,24968.0,4.0,1.4535251301491057,3018.0,44505.0
51.0,37297.0,1.0,1.620175268009985,6090.0,40063.0
42.0,23053.0,2.0,1.6269965831347386,2662.0,23324.0
37.0,38087.0,2.0,1.4935507464412774,3133.0,35039.0
37.0,24477.0,2.0,1.5735087799253449,4578.0,29981.0
33.0,30543.0,2.0,1.581062897233904,7203.0,42914.0
40.0,30757.0,3.0,1.5488737610706966,6491.0,49401.0
44.0,26833.0,3.0,1.5357443827746544,5112.0,42150.0
34.0,26155.0,2.0,1.6509917552248148,5835.0,38264.0
38.0,35858.0,4.0,1.4618381638596547,5177.0,52816.0
31.0,26373.0,4.0,1.4961062666908012,5510.0,47881.0
49.0,24635.0,2.0,1.4113971732202055,5090.0,37332.0
44.0,12256.0,4.0,1.572209607428968,4728.0,37216.0
34.0,30618.0,2.0,1.5760453912573686,4791.0,36266.0
43.0,27423.0,2.0,1.4271594746345786,4425.0,30814.0
26.0,28978.0,3.0,1.5539521881161287,5168.0,43577.0
37.0,31318.0,2.0,1.5061098457579263,5828.0,42099.0
38.0,27889.0,3.0,1.4931258426151568,5595.0,47636.0
44.0,28748.0,4.0,1.5149084865036557,5132.0,50350.0
48.0,34206.0,3.0,1.4615743819263354,5908.0,50965.0
46.0,30529.0,3.0,1.6384077320707204,8427.0,57426.0
44.0,30531.0,2.0,1.6164208774560334,6979.0,43899.0
48.0,20262.0,2.0,1.6216837532725559,3568.0,23893.0
44.0,29571.0,3.0,1.5322266875864246,2939.0,37961.0
43.0,35973.0,2.0,1.6203115821117835,5846.0,47753.0
52.0,40228.0,3.0,1.5378528856042786,5523.0,54657.0
57.0,27777.0,3.0,1.5156289143552144,5251.0,49053.0
47.0,28276.0,2.0,1.4866851860151233,5080.0,38819.0
42.0,28491.0,2.0,1.5790422788466785,6780.0,43600.0
41.0,31485.0,2.0,1.5646240943378023,3929.0,36499.0
47.0,23849.0,2.0,1.548350615956571,6120.0,37879.0
55.0,15592.0,2.0,1.5448653749131256,6407.0,34659.0
48.0,25567.0,4.0,1.43579883651199,2763.0,44416.0
45.0,33810.0,2.0,1.7071499594124364,2890.0,34982.0
49.0,28576.0,3.0,1.475965248830545,3374.0,36171.0
54.0,27916.0,2.0,1.6828619211696614,5523.0,37280.0
36.0,22557.0,2.0,1.510229511353196,5287.0,33712.0
36.0,27294.0,4.0,1.55759079091454,8719.0,59718.0
41.0,37366.0,3.0,1.524382611437103,6412.0,54617.0
38.0,23586.0,4.0,1.7155472528649278,2504.0,34887.0
35.0,37668.0,2.0,1.4398835596767738,4573.0,41787.0
51.0,34112.0,2.0,1.489965417090099,5390.0,41234.0
35.0,31629.0,4.0,1.6574787462525014,5819.0,53507.0
46.0,28738.0,4.0,1.6662138429402442,4237.0,51187.0
46.0,32374.0,3.0,1.620872483823359,4332.0,42680.0
37.0,42062.0,2.0,1.5888960567136312,6085.0,45098.0
48.0,20365.0,3.0,1.60874643147068,5336.0,38754.0
36.0,25709.0,3.0,1.6600236364018561,3594.0,34641.0
31.0,34241.0,4.0,1.5334911420825645,5253.0,51014.0
46.0,25970.0,4.0,1.5290039757872789,8076.0,63018.0
44.0,27544.0,2.0,1.55178007827353,4095.0,32828.0
44.0,33416.0,3.0,1.5758892167350222,4779.0,47190.0
43.0,33398.0,2.0,1.5803085299904591,5597.0,42968.0
47.0,26900.0,2.0,1.4225343598094573,6933.0,41447.0
39.0,40578.0,5.0,1.602859290343858,3884.0,62898.0
30.0,23756.0,4.0,1.6137562179913127,3644.0,39250.0
43.0,31076.0,3.0,1.6036759541707282,4735.0,42627.0
44.0,14798.0,1.0,1.644958479771367,6442.0,23457.0
34.0,31295.0,3.0,1.3897666144148253,7249.0,48070.0
48.0,32874.0,3.0,1.483050677230582,5918.0,54155.0
45.0,21351.0,3.0,1.5578652761001912,6150.0,42724.0
38.0,34252.0,1.0,1.5577102803373897,4846.0,31675.0
37.0,20662.0,3.0,1.6936083944233247,5429.0,36071.0
44.0,31381.0,4.0,1.5494514272178237,6162.0,60294.0
41.0,21872.0,3.0,1.5398334809130103,8197.0,52148.0
45.0,39355.0,3.0,1.4951546942970728,4549.0,52770.0
39.0,19206.0,2.0,1.510835632845822,4149.0,21638.0
35.0,25575.0,3.0,1.494110390776784,3875.0,37895.0
35.0,31421.0,2.0,1.461685255308648,5364.0,34736.0
35.0,24208.0,2.0,1.5207482100654492,5746.0,37003.0
48.0,36625.0,3.0,1.666715006308479,5036.0,49251.0
48.0,32764.0,3.0,1.5400256311417193,5816.0,53101.0
41.0,27389.0,2.0,1.6241642758127803,4594.0,33942.0
32.0,26053.0,1.0,1.5244463477523997,5169.0,27088.0
36.0,30555.0,2.0,1.6420805653825574,8868.0,51455.0
40.0,33460.0,4.0,1.5265117458910313,7528.0,59410.0
40.0,22599.0,2.0,1.5714493613463865,6045.0,35141.0
38.0,27284.0,4.0,1.5735773424394928,4769.0,46783.0
34.0,33282.0,3.0,1.6231514400874685,6576.0,47359.0
31.0,33989.0,2.0,1.6475916514327507,7030.0,43271.0
46.0,16877.0,2.0,1.6437663194550765,5426.0,26605.0
45.0,24114.0,5.0,1.5822672849030004,5071.0,55574.0
42.0,27538.0,3.0,1.5396401972175342,4486.0,38764.0
36.0,36077.0,3.0,1.4508447600012813,4699.0,49091.0
47.0,31076.0,3.0,1.6355273186859471,7284.0,54560.0
58.0,30939.0,4.0,1.452286664630992,5707.0,55355.0
33.0,23342.0,3.0,1.6473667404761871,3160.0,29945.0
45.0,35428.0,2.0,1.5851934279023103,5035.0,39914.0
36.0,35258.0,2.0,1.7137770460309003,5337.0,42622.0
46.0,31605.0,2.0,1.6885861719745927,7983.0,44945.0
45.0,35333.0,3.0,1.5740603010497454,6351.0,52913.0
42.0,27040.0,4.0,1.6311121607964851,6218.0,51198.0
36.0,39359.0,2.0,1.3704931130576254,5739.0,47007.0
46.0,34186.0,2.0,1.6233440858408676,3485.0,34614.0
37.0,37182.0,2.0,1.5458000933518037,5242.0,43927.0
48.0,25239.0,3.0,1.5261959683197281,6780.0,44931.0
43.0,34614.0,2.0,1.5636095092607256,2453.0,32233.0
39.0,34175.0,3.0,1.4845085828199918,6547.0,55113.0
39.0,29560.0,1.0,1.5263902607831377,4459.0,29154.0
46.0,35885.0,4.0,1.5286250080368038,5223.0,56725.0
32.0,37633.0,1.0,1.406547327691533,3130.0,29870.0
48.0,31340.0,3.0,1.53293260979347,5419.0,46695.0
33.0,30905.0,2.0,1.5311586206203534,4145.0,33141.0
47.0,22286.0,2.0,1.533776593915469,5012.0,33920.0
35.0,30235.0,3.0,1.6777165102780947,6402.0,51568.0
40.0,25979.0,3.0,1.5036972464228089,6250.0,43879.0
38.0,32196.0,4.0,1.515454909383719,5216.0,51948.0
40.0,21048.0,1.0,1.5465333115925737,5228.0,21705.0
32.0,17704.0,3.0,1.5521158660688814,6852.0,39898.0
42.0,29360.0,2.0,1.557028531709087,5140.0,39605.0
33.0,37303.0,3.0,1.555825873840263,3667.0,45237.0
36.0,31591.0,2.0,1.488023213095917,4494.0,37336.0
42.0,25905.0,4.0,1.5930172078914584,5843.0,48195.0
40.0,31171.0,2.0,1.623301714191451,6815.0,43737.0
47.0,33273.0,3.0,1.5016328643652261,5475.0,47856.0
36.0,23276.0,3.0,1.5814456041321958,6238.0,45780.0
31.0,39706.0,3.0,1.6286060369422244,5511.0,53316.0
31.0,23875.0,2.0,1.5424257559025145,5571.0,34683.0
35.0,18815.0,4.0,1.6161110661291365,5961.0,42242.0
34.0,21695.0,4.0,1.5677514001367008,5195.0,43906.0
49.0,34931.0,3.0,1.5243012899407824,4353.0,47541.0
38.0,20176.0,3.0,1.3976099121206045,6893.0,40607.0
28.0,26698.0,2.0,1.6090730902844754,6116.0,35128.0
38.0,28552.0,2.0,1.6318603201671045,3948.0,27753.0
42.0,27501.0,3.0,1.6031419051863096,5572.0,40908.0
36.0,31111.0,4.0,1.438886185291647,5977.0,59053.0
41.0,35443.0,3.0,1.6073349321876484,5670.0,47358.0
44.0,26935.0,2.0,1.549291785030249,4577.0,32772.0
43.0,33857.0,3.0,1.4954676369344742,8447.0,55632.0
45.0,16416.0,2.0,1.5793611140260482,5959.0,32690.0
30.0,31024.0,3.0,1.4600766623247485,6320.0,46633.0
33.0,35663.0,3.0,1.4969606511684077,4421.0,43916.0
47.0,28924.0,3.0,1.6086346969932648,3887.0,42694.0
38.0,26439.0,2.0,1.501202390989084,3596.0,26126.0
50.0,31464.0,3.0,1.6078564430179019,4557.0,45725.0
35.0,34319.0,2.0,1.6659361561557344,4830.0,38143.0
42.0,26222.0,2.0,1.53654495631508,5406.0,35720.0
52.0,23196.0,4.0,1.6946672889913132,4875.0,52819.0
33.0,26832.0,2.0,1.5133124704269079,4005.0,32708.0
40.0,21295.0,3.0,1.5486339076205164,4753.0,37963.0
54.0,24524.0,2.0,1.6903097431644576,4545.0,36605.0
38.0,28629.0,3.0,1.597937356711464,4571.0,38759.0
54.0,30786.0,2.0,1.3674953676897172,5498.0,39936.0
50.0,31995.0,3.0,1.4990021145346941,3920.0,40625.0
45.0,30065.0,2.0,1.6629002522722238,6996.0,44587.0
37.0,23515.0,2.0,1.5198437210152143,2257.0,20331.0
53.0,24437.0,3.0,1.4522570689450964,6190.0,42866.0
41.0,36493.0,2.0,1.5774092252582639,2843.0,37951.0
47.0,34101.0,2.0,1.547930180766922,6337.0,45466.0
51.0,34376.0,2.0,1.5118581356354843,6249.0,42047.0
44.0,32857.0,3.0,1.6456302152663977,5005.0,47743.0
47.0,34577.0,2.0,1.5465850889939643,5914.0,39839.0
50.0,30939.0,2.0,1.6484717895994234,6832.0,42987.0
56.0,25039.0,3.0,1.4272902565697985,4451.0,45133.0
38.0,25885.0,2.0,1.6053597241446984,6230.0,33631.0
38.0,21469.0,3.0,1.62291183163411,7126.0,41419.0
45.0,20234.0,3.0,1.4826564195442826,5531.0,43197.0
44.0,39328.0,2.0,1.5581282277742918,5111.0,43620.0
48.0,29059.0,3.0,1.5508284234452336,4858.0,44577.0
51.0,22834.0,0.0,1.5111937492338114,4904.0,16760.0
38.0,39201.0,2.0,1.4050911145603593,6993.0,48245.0
46.0,31344.0,3.0,1.4340717042716848,3415.0,39139.0
52.0,21235.0,3.0,1.4976291967840583,4258.0,40311.0
40.0,14066.0,1.0,1.490573574448749,3561.0,7669.0
45.0,30477.0,4.0,1.545591595981398,2369.0,43157.0
52.0,28714.0,2.0,1.5464793965516632,5990.0,42565.0
39.0,30825.0,3.0,1.6373782903345278,6099.0,45691.0
51.0,23905.0,3.0,1.5420339056445977,3809.0,35904.0
49.0,31293.0,3.0,1.5545771343522974,8274.0,53497.0
41.0,33518.0,2.0,1.6550654646546081,5899.0,40429.0
49.0,28227.0,1.0,1.6551932439672057,6507.0,35708.0
55.0,24194.0,2.0,1.5005961574899112,6634.0,41172.0
47.0,33523.0,2.0,1.4798219901422125,5722.0,44991.0
39.0,20180.0,3.0,1.597254515294117,5173.0,38642.0
46.0,23267.0,1.0,1.5747058854486053,6133.0,28609.0
49.0,29891.0,3.0,1.6267597940000476,3086.0,37938.0
51.0,34779.0,2.0,1.5353732700410219,4378.0,37105.0
28.0,33111.0,4.0,1.5322207509361991,4216.0,46776.0
40.0,35007.0,3.0,1.6580801112480714,5503.0,50190.0
41.0,22805.0,3.0,1.6022185815383967,4702.0,35874.0
38.0,28609.0,1.0,1.5582857759726232,6852.0,31988.0
37.0,33380.0,2.0,1.4971958391818105,3858.0,33177.0
42.0,25901.0,3.0,1.5564616237830768,5444.0,43038.0
22.0,32972.0,1.0,1.360209647324196,5389.0,27738.0
52.0,24056.0,2.0,1.54432802179864,5557.0,38977.0
49.0,22495.0,4.0,1.623618151595483,6667.0,51374.0
37.0,16975.0,2.0,1.6936009677552502,4479.0,23952.0
37.0,41723.0,1.0,1.5314391914578254,4516.0,37545.0
43.0,36495.0,3.0,1.4738472458742369,5578.0,48419.0
42.0,20966.0,3.0,1.4078299248406532,6281.0,38073.0
53.0,37533.0,2.0,1.5434603276885333,2817.0,39984.0
47.0,38360.0,3.0,1.6238111416812606,4460.0,49710.0
43.0,38451.0,2.0,1.5651393638082214,3978.0,36156.0
40.0,25749.0,2.0,1.6112321038350268,5608.0,34974.0
47.0,35604.0,2.0,1.4929796765000196,3595.0,36098.0
45.0,31697.0,2.0,1.7064149370126376,5764.0,40494.0
48.0,25703.0,4.0,1.652906891360269,6411.0,51505.0
40.0,30847.0,4.0,1.6521531014782116,6058.0,54121.0
40.0,26226.0,2.0,1.5855979959243438,7551.0,40476.0
46.0,29670.0,3.0,1.4727240786173679,3363.0,42837.0
54.0,21849.0,4.0,1.6301118065957005,3987.0,42741.0
41.0,30284.0,3.0,1.5487518915084642,5953.0,43699.0
34.0,26003.0,4.0,1.6381277840413324,5942.0,53073.0
44.0,29397.0,3.0,1.5085734421031969,6790.0,52720.0
37.0,21468.0,2.0,1.549099137073415,7410.0,39320.0
35.0,23583.0,2.0,1.5261529384165455,4997.0,27273.0
35.0,27410.0,3.0,1.6674075152725474,7719.0,51524.0
47.0,28155.0,3.0,1.6496890401124342,4740.0,46221.0
52.0,27556.0,4.0,1.6996622943672373,6484.0,56192.0
51.0,33752.0,3.0,1.5060989113195806,5897.0,50168.0
40.0,30621.0,3.0,1.5905374480576393,6500.0,50096.0
44.0,27884.0,2.0,1.482995375142238,6228.0,41886.0
44.0,29332.0,2.0,1.646280578588764,5556.0,39608.0
40.0,25048.0,3.0,1.6500059374954852,7064.0,47458.0
30.0,27135.0,2.0,1.5256016234023422,2130.0,26043.0
54.0,35013.0,3.0,1.5017578363320316,5241.0,52400.0
52.0,28398.0,3.0,1.712026145515411,5203.0,47918.0
39.0,33997.0,2.0,1.547471786237824,5709.0,39755.0
45.0,34925.0,2.0,1.6050893676740938,3375.0,37683.0
42.0,33928.0,2.0,1.4600555541755336,5630.0,38766.0
37.0,32149.0,2.0,1.7405535705597657,3228.0,31035.0
47.0,25436.0,4.0,1.688040348156762,6288.0,56437.0
38.0,28478.0,3.0,1.5031604953731206,5574.0,44721.0
34.0,26384.0,3.0,1.4760544834675242,5896.0,39897.0
37.0,23665.0,3.0,1.4439711178705186,5246.0,40263.0
47.0,31739.0,2.0,1.5457829270244363,4469.0,38242.0
49.0,30648.0,3.0,1.5295956898394771,5801.0,50217.0
53.0,36493.0,4.0,1.5149784695837973,7067.0,65981.0
47.0,35444.0,4.0,1.639057809051966,8129.0,64911.0
41.0,27432.0,3.0,1.5157777477844125,4895.0,43856.0
53.0,33110.0,1.0,1.6019692121015026,4077.0,29907.0
38.0,38949.0,3.0,1.5000763978876768,3875.0,46939.0
28.0,32130.0,3.0,1.6084327228626323,5482.0,43598.0
45.0,29687.0,3.0,1.541318304431907,8668.0,56464.0
35.0,38173.0,4.0,1.489490831643118,2868.0,47527.0
46.0,34463.0,3.0,1.402683604128651,5341.0,48453.0
40.0,31321.0,4.0,1.6369683821793939,6249.0,58099.0
44.0,21891.0,1.0,1.6281994974505303,5515.0,23521.0
36.0,26174.0,3.0,1.525064530198779,5172.0,38685.0
31.0,36485.0,2.0,1.473162041148,4675.0,39672.0
40.0,34813.0,2.0,1.4861928373820892,6092.0,41801.0
46.0,31771.0,1.0,1.526556925208756,1646.0,21465.0
43.0,29077.0,2.0,1.5751244001545466,5041.0,34512.0
36.0,29130.0,3.0,1.5219237419245248,8097.0,50733.0
52.0,31996.0,2.0,1.503516525404668,6833.0,47048.0
43.0,31614.0,2.0,1.5307921998763174,5526.0,39995.0
52.0,34873.0,3.0,1.488501859852835,5247.0,50823.0
40.0,30928.0,3.0,1.5955067570585608,6495.0,49772.0
38.0,34697.0,3.0,1.6053356876117355,3678.0,44615.0
40.0,32532.0,5.0,1.5359870791475096,7723.0,70619.0
44.0,33673.0,1.0,1.5074081066466751,7756.0,43950.0
55.0,33072.0,4.0,1.4812550406592888,4752.0,55331.0
49.0,34346.0,2.0,1.6354484323482532,5999.0,46032.0
55.0,26658.0,3.0,1.6579612060382791,7003.0,51826.0
48.0,27038.0,3.0,1.454872344714473,4760.0,40946.0
50.0,22315.0,3.0,1.5727552356551735,6276.0,40228.0
44.0,41181.0,3.0,1.5894552880043857,6014.0,53424.0
36.0,32530.0,2.0,1.4568547484015313,5416.0,42438.0
40.0,33139.0,3.0,1.6009579460773171,5916.0,48175.0
56.0,31196.0,2.0,1.5159898008929982,3123.0,34525.0
44.0,31327.0,2.0,1.6749738681107385,5520.0,37854.0
43.0,38732.0,2.0,1.5031030438008584,4239.0,40668.0
31.0,26412.0,1.0,1.5790261311509082,6347.0,31009.0
36.0,38697.0,3.0,1.6095254125358949,3631.0,44117.0
