ubicado_en_avenida,empresa_recolectora_de_dinero,abierto_en_fines_de_semana,dias_para_recoleccion_de_dinero,municipio,cantidad_de_camaras,banco_inseguro,cantidad_de_empleados
True,Touché-Coulé,,23.0,Guadalajara,N.A.,1,hay 11.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,15.0,Zapopan,N.A.,1,contamos con 13.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,,20.0,Guadalajara,N.A.,1,8 trabajadores
True,Touché-Coulé,False,14.0,Guadalajara,7.0,1,12.5 Trabajadores
Falso,Touché-Coulé,True,17.0,Guadalajara,8.0,1,tenemos 8 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,11.0,zapopan,N.A.,0,9 Trabajadores
True,Touché-Coulé,,14.0,Guadalajara,N.A.,0,8.5 trabajadores
True,Touché-Coulé,False,19.0,Guadalajara,5.0,0,tenemos 10 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,21.0,zapopan,N.A.,1,hay 9.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,12.0,Guadalajara,N.A.,1,hay 9 trabajadores para los dias habiles
True,Touché-Coulé,True,14.0,Guadalajara,6.0,0,hay 8.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,15.0,Guadalajara,N.A.,1,11 trabajadores
Falso,Touché-Coulé,,11.0,Zapopan,N.A.,0,contamos con 7 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,False,17.0,Guadalajara,4.0,1,10.5 Trabajadores
Falso,Touché-Coulé,,17.0,zapopan,N.A.,0,9.5 Trabajadores
True,Touché-Coulé,False,16.0,Zapopan,5.0,0,11 trabajadores
NA,Touché-Coulé,,13.0,Guadalajara,N.A.,0,8.5 Trabajadores
True,Touché-Coulé,,15.0,Guadalajara,N.A.,0,8 trabajadores
NA,Touché-Coulé,,21.0,Guadalajara,N.A.,1,hay 7 trabajadores para los dias habiles
True,Touché-Coulé,False,6.0,Guadalajara,5.0,0,hay 5 trabajadores para los dias habiles
NA,Touché-Coulé,,14.0,Guadalajara,N.A.,0,hay 9 trabajadores para los dias habiles
NA,Touché-Coulé,,20.0,zapopan,N.A.,1,contamos con 10 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,16.0,Guadalajara,N.A.,1,12 trabajadores
Falso,Touché-Coulé,,21.0,zapopan,N.A.,1,hay 10.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,20.0,Guadalajara,N.A.,0,10 trabajadores
Falso,Touché-Coulé,,12.0,Guadalajara,N.A.,0,7.5 trabajadores
Falso,Lobos,True,23.0,Guadalajara,5.0,1,tenemos 8 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,18.0,Guadalajara,N.A.,0,contamos con 8.5 trabajadores para los 5 dias habiles
True,Seguristark,False,13.0,Guadalajara,6.0,1,12 Trabajadores
NA,Touché-Coulé,,14.0,Guadalajara,N.A.,0,8.5 trabajadores
NA,Touché-Coulé,,12.0,Zapopan,N.A.,0,8 Trabajadores
True,Touché-Coulé,,23.0,zapopan,N.A.,1,tenemos 10 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,23.0,zapopan,N.A.,1,11.5 trabajadores
Falso,Touché-Coulé,False,16.0,Guadalajara,6.0,1,13.5 Trabajadores
Falso,Touché-Coulé,,13.0,Guadalajara,N.A.,0,9.5 trabajadores
True,Touché-Coulé,True,11.0,Zapopan,4.0,0,contamos con 8.5 trabajadores para los 5 dias habiles
NA,Touché-Coulé,,25.0,Guadalajara,N.A.,1,tenemos 11 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,False,12.0,Guadalajara,5.0,0,tenemos 9.5 trabajadores para los 7 dias de la semana
True,Seguristark,,13.0,Guadalajara,N.A.,0,8 trabajadores
Falso,Touché-Coulé,,15.0,Guadalajara,N.A.,0,tenemos 11 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,11.0,zapopan,N.A.,0,hay 6 trabajadores para los dias habiles
NA,Touché-Coulé,,12.0,zapopan,N.A.,0,contamos con 6 trabajadores para los 5 dias habiles
NA,Touché-Coulé,,14.0,Zapopan,N.A.,0,hay 9 trabajadores para los dias habiles
NA,Touché-Coulé,,23.0,Guadalajara,N.A.,1,contamos con 8.5 trabajadores para los 5 dias habiles
Falso,Lobos,,16.0,Guadalajara,N.A.,0,8 trabajadores
Falso,Touché-Coulé,,16.0,Guadalajara,N.A.,0,contamos con 10.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,,15.0,Guadalajara,N.A.,0,tenemos 10 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,12.0,Zapopan,N.A.,0,contamos con 8 trabajadores para los 5 dias habiles
True,Touché-Coulé,,15.0,Zapopan,N.A.,0,8.5 trabajadores
True,Touché-Coulé,,15.0,Guadalajara,N.A.,1,tenemos 12 trabajadores para los 7 dias de la semana
True,Touché-Coulé,False,12.0,Guadalajara,7.0,1,10 trabajadores
True,Touché-Coulé,,15.0,Guadalajara,N.A.,0,11.5 trabajadores
Falso,Touché-Coulé,,15.0,Guadalajara,N.A.,0,9 Trabajadores
NA,Touché-Coulé,,17.0,Guadalajara,N.A.,0,8 trabajadores
Falso,Lobos,,9.0,Guadalajara,N.A.,0,contamos con 6.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,,21.0,Zapopan,N.A.,1,8.5 trabajadores
NA,Touché-Coulé,,13.0,Zapopan,N.A.,0,tenemos 7.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,True,14.0,zapopan,7.0,0,tenemos 7 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,14.0,Zapopan,N.A.,0,contamos con 9 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,True,22.0,Guadalajara,7.0,1,contamos con 10 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,16.0,Guadalajara,N.A.,0,hay 10 trabajadores para los dias habiles
Falso,Touché-Coulé,False,16.0,Zapopan,5.0,0,10.5 Trabajadores
NA,Touché-Coulé,,12.0,Guadalajara,N.A.,0,6 trabajadores
Falso,Touché-Coulé,True,14.0,Guadalajara,6.0,0,tenemos 8 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,11.0,Guadalajara,N.A.,0,hay 7.5 trabajadores para los dias habiles
Falso,Touché-Coulé,False,13.0,Zapopan,N.A.,1,hay 11.5 trabajadores para los dias habiles
True,Touché-Coulé,False,15.0,Guadalajara,6.0,0,7.5 Trabajadores
True,Touché-Coulé,,19.0,zapopan,N.A.,1,hay 9.5 trabajadores para los dias habiles
True,Touché-Coulé,,15.0,Guadalajara,N.A.,0,hay 11 trabajadores para los dias habiles
Falso,Touché-Coulé,,11.0,Guadalajara,N.A.,0,hay 8.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,17.0,Guadalajara,N.A.,0,9.5 Trabajadores
True,Touché-Coulé,True,11.0,Guadalajara,4.0,0,7.5 trabajadores
Falso,Touché-Coulé,,21.0,Guadalajara,N.A.,1,8.5 trabajadores
True,Touché-Coulé,,18.0,Guadalajara,N.A.,1,hay 8.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,17.0,Guadalajara,N.A.,1,tenemos 13.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,13.0,Guadalajara,N.A.,0,hay 10 trabajadores para los dias habiles
True,Touché-Coulé,,15.0,Zapopan,N.A.,1,contamos con 12 trabajadores para los 5 dias habiles
NA,Touché-Coulé,,19.0,Guadalajara,N.A.,0,hay 12 trabajadores para los dias habiles
True,Touché-Coulé,,19.0,zapopan,N.A.,1,9.5 Trabajadores
True,Touché-Coulé,,17.0,Guadalajara,N.A.,0,hay 10 trabajadores para los dias habiles
Falso,Touché-Coulé,False,13.0,Guadalajara,7.0,0,7 Trabajadores
NA,Touché-Coulé,,22.0,Guadalajara,N.A.,0,tenemos 12 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,22.0,zapopan,N.A.,1,7 trabajadores
True,Touché-Coulé,,12.0,zapopan,N.A.,1,contamos con 10 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,False,14.0,Guadalajara,7.0,1,contamos con 10.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,False,16.0,zapopan,7.0,0,11.5 trabajadores
True,Touché-Coulé,,20.0,Guadalajara,N.A.,1,hay 10.5 trabajadores para los dias habiles
Falso,Touché-Coulé,False,13.0,zapopan,8.0,1,tenemos 10 trabajadores para los 7 dias de la semana
True,Touché-Coulé,False,14.0,zapopan,4.0,1,tenemos 11 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,24.0,Guadalajara,N.A.,1,12.5 trabajadores
True,Touché-Coulé,,20.0,Guadalajara,N.A.,1,tenemos 9 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,14.0,Zapopan,N.A.,0,159.5 Trabajadores
Falso,Touché-Coulé,,17.0,Guadalajara,N.A.,0,9 Trabajadores
True,Touché-Coulé,,16.0,Guadalajara,N.A.,1,hay 6 trabajadores para los dias habiles
True,Touché-Coulé,,17.0,Guadalajara,N.A.,1,contamos con 14 trabajadores para los 5 dias habiles
True,Touché-Coulé,,20.0,Zapopan,N.A.,1,9 trabajadores
Falso,Touché-Coulé,,24.0,Guadalajara,N.A.,1,11.5 trabajadores
Falso,Touché-Coulé,True,14.0,Guadalajara,4.0,0,hay 10 trabajadores para los dias habiles
NA,Seguristark,,7.0,Guadalajara,N.A.,0,7 trabajadores
True,Touché-Coulé,True,16.0,Guadalajara,8.0,0,11.5 trabajadores
True,Touché-Coulé,,14.0,Guadalajara,N.A.,0,hay 9 trabajadores para los dias habiles
NA,Touché-Coulé,,12.0,Guadalajara,N.A.,1,159.5 trabajadores
True,Touché-Coulé,True,20.0,Guadalajara,5.0,1,tenemos 8 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,True,21.0,Guadalajara,3.0,1,contamos con 8.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,True,24.0,Guadalajara,4.0,1,8.5 trabajadores
Falso,Touché-Coulé,,19.0,Guadalajara,N.A.,1,hay 8 trabajadores para los dias habiles
Falso,Touché-Coulé,,13.0,Guadalajara,N.A.,0,hay 9 trabajadores para los dias habiles
True,Touché-Coulé,False,15.0,Guadalajara,7.0,1,13.5 trabajadores
True,Touché-Coulé,,17.0,zapopan,N.A.,1,contamos con 12.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,True,20.0,Guadalajara,5.0,1,8 trabajadores
NA,Touché-Coulé,,16.0,Guadalajara,N.A.,0,tenemos 11 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,13.0,Guadalajara,N.A.,0,tenemos 159.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,13.0,Guadalajara,N.A.,0,8.5 Trabajadores
NA,Touché-Coulé,,13.0,Guadalajara,N.A.,1,hay 11 trabajadores para los dias habiles
True,Touché-Coulé,,21.0,Guadalajara,N.A.,1,contamos con 11 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,21.0,zapopan,N.A.,1,contamos con 10.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,13.0,Guadalajara,N.A.,0,9 trabajadores
True,Touché-Coulé,False,12.0,Guadalajara,7.0,1,11.5 Trabajadores
Falso,Seguristark,,14.0,Guadalajara,N.A.,0,hay 10 trabajadores para los dias habiles
NA,Touché-Coulé,,16.0,Zapopan,N.A.,0,11.5 Trabajadores
True,Touché-Coulé,,11.0,zapopan,N.A.,0,tenemos 8.5 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,20.0,Guadalajara,N.A.,1,contamos con 7 trabajadores para los 5 dias habiles
True,Touché-Coulé,,24.0,zapopan,N.A.,1,9.5 Trabajadores
True,Touché-Coulé,,21.0,Guadalajara,N.A.,0,12 Trabajadores
Falso,Touché-Coulé,False,11.0,Guadalajara,3.0,0,tenemos 6.5 trabajadores para los 7 dias de la semana
Falso,Lobos,,9.0,Guadalajara,N.A.,1,7.5 trabajadores
Falso,Touché-Coulé,False,14.0,Guadalajara,10.0,0,tenemos 8.5 trabajadores para los 7 dias de la semana
True,Seguristark,,20.0,Tlajomulco,N.A.,0,contamos con 11 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,True,20.0,Zapopan,N.A.,1,hay 6 trabajadores para los dias habiles
NA,Touché-Coulé,,16.0,zapopan,N.A.,0,tenemos 10.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,12.0,Guadalajara,N.A.,0,contamos con 6 trabajadores para los 5 dias habiles
True,Touché-Coulé,,14.0,Guadalajara,N.A.,0,hay 7 trabajadores para los dias habiles
Falso,Touché-Coulé,,17.0,Zapopan,N.A.,0,contamos con 10.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,,16.0,Guadalajara,N.A.,0,8 trabajadores
Falso,Seguristark,,23.0,Zapopan,N.A.,1,12.5 trabajadores
Falso,Touché-Coulé,False,16.0,Guadalajara,3.0,1,13.5 Trabajadores
True,Touché-Coulé,,6.0,Guadalajara,N.A.,0,5 Trabajadores
True,Touché-Coulé,False,13.0,Guadalajara,7.0,1,hay 11.5 trabajadores para los dias habiles
True,Touché-Coulé,False,14.0,Guadalajara,4.0,1,contamos con 10.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,,25.0,Guadalajara,N.A.,1,9 trabajadores
NA,Touché-Coulé,,21.0,zapopan,N.A.,1,7 trabajadores
Falso,Touché-Coulé,,24.0,Guadalajara,N.A.,1,10 Trabajadores
NA,Touché-Coulé,,17.0,Guadalajara,N.A.,1,contamos con 13 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,True,12.0,Guadalajara,7.0,0,hay 9 trabajadores para los dias habiles
True,Touché-Coulé,False,16.0,Guadalajara,5.0,0,hay 9.5 trabajadores para los dias habiles
True,Touché-Coulé,,14.0,Zapopan,N.A.,1,contamos con 13.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,,14.0,Guadalajara,N.A.,1,contamos con 11.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,True,19.0,Zapopan,6.0,1,8 trabajadores
True,Touché-Coulé,,13.0,Guadalajara,N.A.,1,tenemos 13 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,19.0,Zapopan,N.A.,1,contamos con 7.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,True,12.0,Guadalajara,6.0,1,5.5 Trabajadores
True,Touché-Coulé,False,16.0,Guadalajara,6.0,1,13.5 Trabajadores
NA,Touché-Coulé,,21.0,Guadalajara,N.A.,0,13.5 Trabajadores
True,Touché-Coulé,,12.0,Guadalajara,N.A.,0,contamos con 6.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,18.0,zapopan,N.A.,0,12 Trabajadores
NA,Touché-Coulé,,13.0,Guadalajara,N.A.,0,7 Trabajadores
Falso,Touché-Coulé,,14.0,Tlajomulco ,N.A.,1,hay 11.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,12.0,Guadalajara,N.A.,0,hay 6.5 trabajadores para los dias habiles
True,Touché-Coulé,False,12.0,Guadalajara,7.0,0,tenemos 6 trabajadores para los 7 dias de la semana
True,Touché-Coulé,False,19.0,Guadalajara,6.0,0,tenemos 8.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,14.0,Guadalajara,N.A.,1,tenemos 14 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,15.0,Guadalajara,N.A.,0,9.5 trabajadores
Falso,Touché-Coulé,False,14.0,zapopan,N.A.,0,8.5 trabajadores
True,Touché-Coulé,,15.0,Guadalajara,N.A.,0,tenemos 10.5 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,18.0,Guadalajara,N.A.,1,9.5 Trabajadores
True,Touché-Coulé,,25.0,Guadalajara,N.A.,1,hay 11 trabajadores para los dias habiles
NA,Touché-Coulé,,14.0,Guadalajara,N.A.,1,contamos con 10 trabajadores para los 5 dias habiles
True,Seguristark,,17.0,Guadalajara,N.A.,0,hay 10 trabajadores para los dias habiles
NA,Touché-Coulé,,12.0,Zapopan,N.A.,1,tenemos 10.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,,11.0,zapopan,N.A.,1,9.5 trabajadores
True,Touché-Coulé,,14.0,Zapopan,N.A.,1,hay 11 trabajadores para los dias habiles
Falso,Touché-Coulé,False,11.0,Guadalajara,6.0,1,contamos con 10.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,,19.0,Guadalajara,N.A.,1,8.5 Trabajadores
Falso,Touché-Coulé,False,17.0,Guadalajara,6.0,0,hay 8.5 trabajadores para los dias habiles
True,Touché-Coulé,True,13.0,Guadalajara,6.0,1,tenemos 12.5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,False,9.0,Guadalajara,3.0,0,contamos con 7.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,25.0,Guadalajara,N.A.,1,hay 11.5 trabajadores para los dias habiles
Falso,Seguristark,,18.0,Guadalajara,N.A.,0,contamos con 10 trabajadores para los 5 dias habiles
True,Touché-Coulé,,9.0,Guadalajara,N.A.,0,8.5 Trabajadores
NA,Touché-Coulé,,18.0,Guadalajara,N.A.,0,tenemos 9 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,21.0,Guadalajara,N.A.,1,tenemos 7.5 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,15.0,Zapopan,N.A.,1,tenemos 12.5 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,12.0,Guadalajara,N.A.,1,11 trabajadores
Falso,Touché-Coulé,,17.0,Guadalajara,N.A.,0,10 trabajadores
Falso,Touché-Coulé,True,19.0,Guadalajara,7.0,1,tenemos 9 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,16.0,zapopan,N.A.,0,hay 9.5 trabajadores para los dias habiles
Falso,Touché-Coulé,False,11.0,Guadalajara,6.0,0,7 trabajadores
True,Touché-Coulé,,24.0,Zapopan,N.A.,1,tenemos 9.5 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,16.0,Guadalajara,N.A.,0,11 trabajadores
Falso,Touché-Coulé,False,13.0,Guadalajara,6.0,1,10.5 trabajadores
Falso,Touché-Coulé,True,18.0,Guadalajara,9.0,0,11.5 trabajadores
True,Touché-Coulé,True,14.0,Guadalajara,7.0,0,hay 8 trabajadores para los dias habiles
True,Touché-Coulé,,13.0,Guadalajara,N.A.,0,contamos con 8.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,19.0,Zapopan,N.A.,0,hay 11.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,23.0,Guadalajara,N.A.,1,7 Trabajadores
Falso,Touché-Coulé,True,11.0,Guadalajara,3.0,0,tenemos 7 trabajadores para los 7 dias de la semana
True,Touché-Coulé,True,23.0,Guadalajara,5.0,1,tenemos 8 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,True,12.0,Guadalajara,4.0,0,hay 7.5 trabajadores para los dias habiles
NA,Touché-Coulé,,14.0,Guadalajara,N.A.,1,contamos con 14 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,False,17.0,Guadalajara,4.0,0,hay 10 trabajadores para los dias habiles
Falso,Touché-Coulé,,8.0,Guadalajara,N.A.,0,tenemos 5 trabajadores para los 7 dias de la semana
True,Touché-Coulé,True,18.0,Guadalajara,7.0,1,contamos con 7 trabajadores para los 5 dias habiles
NA,Touché-Coulé,,12.0,Guadalajara,N.A.,1,10 trabajadores
Falso,Touché-Coulé,True,16.0,Guadalajara,8.0,0,hay 10.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,14.0,zapopan,N.A.,0,tenemos 10 trabajadores para los 7 dias de la semana
True,Touché-Coulé,True,22.0,Guadalajara,6.0,1,contamos con 10.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,,20.0,Guadalajara,N.A.,1,7 trabajadores
Falso,Touché-Coulé,False,15.0,Guadalajara,8.0,1,12 trabajadores
True,Touché-Coulé,,14.0,zapopan,N.A.,0,9 trabajadores
True,Touché-Coulé,True,13.0,Zapopan,5.0,0,contamos con 8 trabajadores para los 5 dias habiles
True,Touché-Coulé,False,14.0,Guadalajara,7.0,1,hay 10.5 trabajadores para los dias habiles
NA,Seguristark,,17.0,zapopan,N.A.,0,contamos con 8 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,False,14.0,Guadalajara,4.0,0,6 Trabajadores
NA,Touché-Coulé,,10.0,Guadalajara,N.A.,1,contamos con 9.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,True,13.0,Zapopan,7.0,0,7 trabajadores
NA,Touché-Coulé,,16.0,Guadalajara,N.A.,0,hay 8.5 trabajadores para los dias habiles
Falso,Touché-Coulé,,14.0,Guadalajara,N.A.,0,6.5 Trabajadores
True,Touché-Coulé,,13.0,zapopan,N.A.,0,8.5 Trabajadores
Falso,Touché-Coulé,True,14.0,Guadalajara,6.0,0,7.5 trabajadores
True,Touché-Coulé,,10.0,Guadalajara,N.A.,0,5 trabajadores
True,Touché-Coulé,True,14.0,Guadalajara,3.0,0,11 Trabajadores
Falso,Touché-Coulé,False,15.0,zapopan,2.0,0,contamos con 10.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,True,22.0,zapopan,7.0,1,9.5 Trabajadores
Falso,Touché-Coulé,False,14.0,Zapopan,3.0,1,contamos con 13.5 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,19.0,Guadalajara,N.A.,1,tenemos 8 trabajadores para los 7 dias de la semana
True,Touché-Coulé,True,21.0,Guadalajara,5.0,1,contamos con 10 trabajadores para los 5 dias habiles
Falso,Touché-Coulé,,20.0,Zapopan,N.A.,1,7.5 Trabajadores
True,Touché-Coulé,,18.0,Zapopan,N.A.,1,contamos con 9.5 trabajadores para los 5 dias habiles
True,Touché-Coulé,True,26.0,Zapopan,4.0,1,tenemos 9.5 trabajadores para los 7 dias de la semana
NA,Touché-Coulé,,9.0,Guadalajara,N.A.,0,6 Trabajadores
NA,Touché-Coulé,,15.0,Guadalajara,N.A.,0,tenemos 10.5 trabajadores para los 7 dias de la semana
NA,Lobos,,15.0,Guadalajara,N.A.,0,tenemos 9.5 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,16.0,Guadalajara,N.A.,1,contamos con 13.5 trabajadores para los 5 dias habiles
NA,Touché-Coulé,,17.0,Guadalajara,N.A.,1,9 Trabajadores
Falso,Touché-Coulé,,11.0,Zapopan,N.A.,0,tenemos 7 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,19.0,Guadalajara,N.A.,1,contamos con 5 trabajadores para los 5 dias habiles
True,Touché-Coulé,True,14.0,Guadalajara,6.0,0,10 Trabajadores
Falso,Touché-Coulé,True,16.0,Zapopan,5.0,0,9.5 Trabajadores
Falso,Touché-Coulé,,18.0,Guadalajara,N.A.,1,tenemos 15.5 trabajadores para los 7 dias de la semana
Falso,Touché-Coulé,,14.0,Guadalajara,N.A.,0,tenemos 8.5 trabajadores para los 7 dias de la semana
